industry_id,industry_code,industry_description
441,423420,Office Equipment Merchant Wholesalers
442,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers
443,423440,Other Commercial Equipment Merchant Wholesalers
444,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
445,423460,Ophthalmic Goods Merchant Wholesalers
446,423490,Other Professional Equipment and Supplies Merchant Wholesalers
447,423510,Metal Service Centers and Other Metal Merchant Wholesalers
448,423520,Coal and Other Mineral and Ore Merchant Wholesalers
449,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
450,423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers"
451,423690,Other Electronic Parts and Equipment Merchant Wholesalers
452,423710,Hardware Merchant Wholesalers
453,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
454,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
455,423740,Refrigeration Equipment and Supplies Merchant Wholesalers
456,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers
457,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers
458,423830,Industrial Machinery and Equipment Merchant Wholesalers
459,423840,Industrial Supplies Merchant Wholesalers
460,423850,Service Establishment Equipment and Supplies Merchant Wholesalers
461,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers
462,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers
463,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers
464,423930,Recyclable Material Merchant Wholesalers
465,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers"
466,423990,Other Miscellaneous Durable Goods Merchant Wholesalers
467,424110,Printing and Writing Paper Merchant Wholesalers
468,424120,Stationery and Office Supplies Merchant Wholesalers
469,424130,Industrial and Personal Service Paper Merchant Wholesalers
470,424210,Drugs and Druggists' Sundries Merchant Wholesalers
471,424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers"
472,424340,Footwear Merchant Wholesalers
473,424350,Clothing and Clothing Accessories Merchant Wholesalers
474,424410,General Line Grocery Merchant Wholesalers
475,424420,Packaged Frozen Food Merchant Wholesalers
476,424430,Dairy Product (except Dried or Canned) Merchant Wholesalers
477,424440,Poultry and Poultry Product Merchant Wholesalers
478,424450,Confectionery Merchant Wholesalers
479,424460,Fish and Seafood Merchant Wholesalers
480,424470,Meat and Meat Product Merchant Wholesalers
481,424480,Fresh Fruit and Vegetable Merchant Wholesalers
482,424490,Other Grocery and Related Products Merchant Wholesalers
483,424510,Grain and Field Bean Merchant Wholesalers
484,424520,Livestock Merchant Wholesalers
485,424590,Other Farm Product Raw Material Merchant Wholesalers
486,424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers
487,424690,Other Chemical and Allied Products Merchant Wholesalers
488,424710,Petroleum Bulk Stations and Terminals
489,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
490,424810,Beer and Ale Merchant Wholesalers
491,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers
492,424910,Farm Supplies Merchant Wholesalers
493,424920,"Book, Periodical, and Newspaper Merchant Wholesalers"
494,424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers"
495,424940,Tobacco Product and Electronic Cigarette Merchant Wholesalers
496,424950,"Paint, Varnish, and Supplies Merchant Wholesalers"
497,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers
498,425120,Wholesale Trade Agents and Brokers
499,441110,New Car Dealers
500,441120,Used Car Dealers
501,441210,Recreational Vehicle Dealers
502,441222,Boat Dealers
503,441227,"Motorcycle, ATV, and All Other Motor Vehicle Dealers"
504,441330,Automotive Parts and Accessories Retailers
505,441340,Tire Dealers
506,444110,Home Centers
507,444120,Paint and Wallpaper Retailers
508,444140,Hardware Retailers
509,444180,Other Building Material Dealers
510,444230,Outdoor Power Equipment Retailers
511,444240,"Nursery, Garden Center, and Farm Supply Retailers"
512,445110,Supermarkets and Other Grocery (except Convenience) Stores
513,445131,Convenience Retailers
514,445132,Vending Machine Operators
515,445230,Fruit and Vegetable Retailers
516,445240,Meat Retailers
517,445250,Fish and Seafood Retailers
518,445291,Baked Goods Retailers
519,445292,Confectionery and Nut Retailers
520,445298,All Other Specialty Food Retailers
521,445320,"Beer, Wine, and Liquor Retailers"
522,449110,Furniture Retailers
523,449121,Floor Covering Retailers
524,449122,Window Treatment Retailers
525,449129,All Other Home Furnishings Retailers
526,449210,Electronics and Appliance Retailers
527,455110,Department Stores
528,455211,Warehouse Clubs and Supercenters
529,455219,All Other General Merchandise Retailers
530,456110,Pharmacies and Drug Retailers
531,456120,"Cosmetics, Beauty Supplies, and Perfume Retailers"
532,456130,Optical Goods Retailers
533,456191,Food (Health) Supplement Retailers
534,456199,All Other Health and Personal Care Retailers
535,457110,Gasoline Stations with Convenience Stores
536,457120,Other Gasoline Stations
537,457210,Fuel Dealers
538,458110,Clothing and Clothing Accessories Retailers
539,458210,Shoe Retailers
540,458310,Jewelry Retailers
541,458320,Luggage and Leather Goods Retailers
542,459110,Sporting Goods Retailers
543,459120,"Hobby, Toy, and Game Retailers"
544,459130,"Sewing, Needlework, and Piece Goods Retailers"
545,459140,Musical Instrument and Supplies Retailers
546,459210,Book Retailers and News Dealers
547,459310,Florists
548,459410,Office Supplies and Stationery Retailers
549,459420,"Gift, Novelty, and Souvenir Retailers"
550,459510,Used Merchandise Retailers
551,459910,Pet and Pet Supplies Retailers
552,459920,Art Dealers
553,459930,Manufactured (Mobile) Home Dealers
554,459991,"Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers"
555,459999,All Other Miscellaneous Retailers
556,481111,Scheduled Passenger Air Transportation
557,481112,Scheduled Freight Air Transportation
558,481211,Nonscheduled Chartered Passenger Air Transportation
559,481212,Nonscheduled Chartered Freight Air Transportation
560,481219,Other Nonscheduled Air Transportation
561,482110,Rail transportation
562,483111,Deep Sea Freight Transportation
563,483112,Deep Sea Passenger Transportation
564,483113,Coastal and Great Lakes Freight Transportation
565,483114,Coastal and Great Lakes Passenger Transportation
566,483211,Inland Water Freight Transportation
567,483212,Inland Water Passenger Transportation
568,484110,"General Freight Trucking, Local"
569,484121,"General Freight Trucking, Long-Distance, Truckload"
570,484122,"General Freight Trucking, Long-Distance, Less Than Truckload"
571,484210,Used Household and Office Goods Moving
572,484220,"Specialized Freight (except Used Goods) Trucking, Local"
573,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance"
574,485111,Mixed Mode Transit Systems
575,485112,Commuter Rail Systems
576,485113,Bus and Other Motor Vehicle Transit Systems
577,485119,Other Urban Transit Systems
578,485210,Interurban and Rural Bus Transportation
579,485310,Taxi and Ridesharing Services
580,485320,Limousine Service
581,485410,School and Employee Bus Transportation
582,485510,Charter Bus Industry
583,485991,Special Needs Transportation
