cbsa_geoid,cbsa_name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score
22660,"Fort Collins-Loveland, CO Metro Area",247,1.6902522449269002,92.76
44540,"Sterling, CO Micro Area",116,-1.2011223576651169,6.16
24300,"Grand Junction, CO Metro Area",259,0.47446339046108726,74.27
44460,"Steamboat Springs, CO Micro Area",202,1.3125490206588342,88.54
33940,"Montrose, CO Micro Area",219,0.1300281606648561,63.68
22820,"Fort Morgan, CO Micro Area",109,-1.6141809001854142,0.54
39380,"Pueblo, CO Metro Area",188,0.03832585165840814,60.97
24540,"Greeley, CO Metro Area",245,-0.18375137433935834,52
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",251,1.7397392110328913,93.41
14860,"Bridgeport-Stamford-Danbury, CT Metro Area",275,2.74908035889457,98.59
47930,"Waterbury-Shelton, CT Metro Area",263,1.2873895129265422,88.22
39480,"Putnam, CT Micro Area",211,0.2986658135080824,68.65
45860,"Torrington, CT Micro Area",220,1.1415394901584122,85.84
35300,"New Haven, CT Metro Area",229,1.5072743010573668,91.35
35980,"Norwich-New London-Willimantic, CT Metro Area",170,1.1957261964253758,86.81
20100,"Dover, DE Metro Area",167,0.4906027217109322,74.81
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",281,2.2854980728347782,97.41
42580,"Seaford, DE Micro Area",209,0.6920950316917466,78.59
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",182,4.076346376620148,99.89
23540,"Gainesville, FL Metro Area",163,0.939099319538028,81.62
27260,"Jacksonville, FL Metro Area",316,1.8456970751402948,94.38
37460,"Panama City-Panama City Beach, FL Metro Area",223,1.13043140008244,85.51
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",237,1.7521383367110437,93.62
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",365,2.888009490497435,98.81
39460,"Punta Gorda, FL Metro Area",213,0.9945509170726636,82.38
26140,"Homosassa Springs, FL Metro Area",189,0.612059701644332,76.97
34940,"Naples-Marco Island, FL Metro Area",234,1.87326776953345,94.7
29380,"Lake City, FL Micro Area",165,-0.40923341516620176,41.62
11580,"Arcadia, FL Micro Area",122,-0.4871097721531332,37.84
37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",225,1.0009828330455701,82.49
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",261,1.3680388220214972,89.41
45220,"Tallahassee, FL Metro Area",170,1.6154485796328246,92.22
17500,"Clewiston, FL Micro Area",139,-0.2743132256894183,47.89
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",335,2.106360170401423,96
42700,"Sebring, FL Metro Area",186,-0.0183825396137462,58.7
42680,"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",227,1.3251481991675398,88.76
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",283,2.4438591737466084,98.05
15980,"Cape Coral-Fort Myers, FL Metro Area",243,1.464662701108281,90.59
35840,"North Port-Bradenton-Sarasota, FL Metro Area",270,1.8114302373010633,93.84
36100,"Ocala, FL Metro Area",258,0.32895886669606095,69.84
38940,"Port St. Lucie, FL Metro Area",273,1.1738368870599183,86.7
28580,"Key West-Key Largo, FL Micro Area",169,2.190378956121108,96.76
18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",186,1.9889500791477719,95.24
36380,"Okeechobee, FL Micro Area",141,-0.6698441267484148,28.86
