commuting_zone_geoid,commuting_zone_name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score
296,"Trenton, MO",144,-1.1421871427167922,10.88
297,"Fort Leonard Wood--St. Robert--Waynesville, MO",166,-0.49250654109290076,34.69
298,"West Plains, MO",180,-0.8791265022429786,18.37
299,"Maryville, MO",126,-0.9526503377417563,16.67
300,"Farmington, MO",189,-0.5648780693040073,30.44
301,"Moberly, MO",153,-1.0356665312983322,14.29
302,"Dillon, MT",119,-0.30959698010772246,43.03
303,"Sheridan, WY",211,0.05267199650648139,57.82
304,"Great Falls, MT",189,-0.46780860761023296,35.71
305,"Bozeman, MT",281,1.09003345507821,85.71
306,"Billings, MT",269,0.006495604358151276,55.78
307,"Baker, MT",106,-0.9034974238811494,18.2
308,"Miles, MT",139,-1.0102997851324198,14.97
309,"Plentywood, MT",102,-0.7643971821348828,22.28
310,"Missoula, MT",282,0.40577658362169056,70.92
311,"Lewistown, MT",142,-0.8750863057197312,18.54
312,"Kalispell, MT",269,0.6751973733892839,78.57
313,"Jordan, MT",57,-0.25395489697302626,45.24
314,"Shelby, MT",107,-1.3638346373795143,5.44
315,"Chester, MT",61,-0.7233617347920334,24.49
316,"Glasgow, MT",107,-1.5415309025519712,3.23
317,"Livingston, MT",185,0.3473009768723526,69.22
318,"Winnett, MT",45,0.1484035702044684,61.22
319,"Malta, MT",100,-1.3448561158633334,5.95
320,"Colstrip, MT",88,-0.7241278870808089,24.15
321,"Williston, ND",126,-1.3636561845878123,5.61
322,"Thompson Falls, MT",145,-0.3398582207221846,40.14
323,"Dickinson, ND",160,-0.92811797383566,17.01
324,"Hastings, NE",153,-1.2647828110635495,7.82
325,"Norfolk, NE",157,-0.7652864397325233,22.11
326,"North Platte, NE",156,-0.7736187801801654,21.77
327,"Cheyenne, WY",201,-0.4932000546477343,34.52
328,"Broken Bow, NE",100,-1.3367818023953542,6.46
329,"Columbus, NE",138,-1.1075206441353445,11.73
330,"Alliance, NE",98,-1.5443607230467236,3.06
331,"O'Neill, NE",108,-1.5516876414695782,2.72
332,"Kearney, NE",159,-0.842193041751984,19.9
333,"Yankton, SD",148,-1.0987476717569504,11.9
334,"McCook, NE",110,-1.6685402406998553,1.7
335,"Valentine, NE",78,-1.3432757728499103,6.29
336,"Grand Island, NE",174,-0.8194103940496633,20.92
337,"Lincoln, NE",234,0.5830408411360702,75.68
338,"Ord, NE",96,-1.3577209684689904,5.78
339,"Hyannis, NE",47,-0.9938755406200868,15.65
340,"Las Vegas--Henderson--Paradise, NV",234,2.1359497546281996,96.09
341,"Elko, NV",136,-1.0843030167575982,12.76
342,"St. George, UT",271,0.8494926519122888,81.63
343,"Nashua, NH-MA",335,1.7135259517919808,94.22
344,"Keene, NH",228,0.6680338727087906,78.23
345,"Lebanon, NH-VT",250,0.772365034336753,80.27
346,"Trenton, NJ",259,1.788317074936813,94.73
347,"Newark, NJ",356,2.5790512702497335,97.96
348,"Toms River, NJ",264,1.6608638184002127,93.88
349,"Albuquerque, NM",225,1.2589578317674164,87.93
350,"Roswell, NM",159,-1.068975735937952,13.44
351,"Las Vegas, NM",124,-0.7095981609530413,25.17
352,"Clovis, NM",115,-1.5167167897093916,3.4
353,"El Paso, TX-NM",211,0.4462346171799005,72.45
354,"Hobbs, NM",116,-1.1491113899435415,10.37
355,"Alamogordo, NM",141,-0.08516756105888451,52.72
356,"Taos, NM",169,0.6902227881568203,78.74
357,"Dumas, TX",92,-2.024246372579754,0.34
358,"Albany--Schenectady, NY",258,1.0089025264028102,84.01
359,"Buffalo, NY",302,1.0975445114679732,86.05
360,"New York, NY",233,3.4591719545223714,99.83
361,"Binghamton, NY",220,0.7318707859859455,79.76
362,"Syracuse, NY",278,1.122351097022638,86.56
363,"Erie, PA",312,0.11938057921070253,59.86
364,"Elmira, NY",204,0.5105713404836981,73.47
365,"Plattsburgh, NY",183,-0.039515795374679065,54.93
366,"Yonkers, NY",282,2.012655860397564,95.58
367,"Watertown, NY",144,-0.3125111656420691,42.18
368,"Rochester, NY",252,1.3874495699794622,90.99
369,"Burlington, NC",230,0.4385105569210429,71.6
370,"Hickory, NC",237,0.5833443531748354,75.85
371,"Marion, VA",182,-0.2731435542148706,44.56
372,"Charlotte, NC-SC",356,1.643219988113771,93.2
373,"Boone, NC",179,0.26952720580273415,66.16
374,"Washington, NC",192,-0.3719814456400737,39.12
375,"Roanoke Rapids, NC",171,-0.576649514783908,30.1
376,"Fayetteville, NC",207,0.14169851502024178,60.71
377,"Wilmington, NC",269,0.9981691470728177,83.67
378,"Asheville, NC",298,1.164663764988097,86.9
379,"Virginia Beach, VA",222,1.299250303795482,89.46
380,"Jacksonville, NC",135,0.5963723797860991,76.87
381,"Raleigh, NC",248,2.3350003873715117,97.11
382,"Winston-Salem, NC",321,0.9696043030245213,83.33
383,"Greenville, NC",196,-0.11914618942764806,51.36
384,"Rocky Mount, NC",213,0.013547570015126754,56.12
385,"Spartanburg, SC",274,0.5500561262085567,74.15
386,"Bowman, ND",108,-1.5863922466273812,2.21
387,"Valley, ND",108,-0.869172796251448,19.05
388,"Devils Lake, ND",104,-1.2355705127560068,8.33
389,"Minot, ND",165,-0.7215715863119909,24.83
390,"Bismarck, ND",214,-0.35077972612719954,39.63
391,"Lisbon, ND",93,-1.5087214889479028,3.74
392,"Carrington, ND",91,-1.7792991228549475,1.02
393,"Jamestown, ND",124,-1.3767581885721007,5.27
394,"Rugby, ND",81,-1.1571935257305508,9.69
395,"Mobridge, SD",100,-1.0892497416629845,12.24
396,"Lima, OH",244,-0.2759123064393983,44.39
397,"Mansfield, OH",246,0.01695159696660742,56.29
398,"Cleveland, OH",351,1.3546230051528931,90.14
399,"Athens, OH",149,-0.3218664034070865,41.33
400,"Steubenville--Weirton, OH-WV-PA",230,-0.19996025595483713,47.45
401,"Canton, OH",360,0.09678615279181868,59.01
402,"Dayton, OH",282,0.5909821051088185,76.36
403,"Washington Court House, OH",171,-0.12578741622898262,51.19
404,"Youngstown, OH",304,0.21693433067114265,63.78
405,"Toledo, OH-MI",282,0.35835702324885066,69.9
406,"Columbus, OH",257,1.651458754628924,93.54
407,"Sandusky--Port Clinton, OH",230,0.13129375563404985,60.54
