industry_code,industry_description,industry_employment_share_nation
333132,Oil and Gas Field Machinery and Equipment Manufacturing,2.716887433895975e-4
333241,Food Product Machinery Manufacturing,1.2134841598039664e-4
333242,Semiconductor Machinery Manufacturing,1.6722837395577778e-4
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",7.335171575783927e-5
333248,All Other Industrial Machinery Manufacturing,4.0823869583345504e-4
333310,Commercial and Service Industry Machinery Manufacturing,5.129457317080027e-4
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,1.889235478821208e-4
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,8.95628636996281e-5
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,5.676769994053159e-4
333511,Industrial Mold Manufacturing,1.8520634198464055e-4
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",2.953916674148882e-4
333515,Cutting Tool and Machine Tool Accessory Manufacturing,1.2195647743893509e-4
333517,Machine Tool Manufacturing,2.4376380772766262e-4
333519,Rolling Mill and Other Metalworking Machinery Manufacturing,6.581978467235848e-5
333611,Turbine and Turbine Generator Set Units Manufacturing,1.1608811072115378e-4
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",6.488474676913428e-5
333613,Mechanical Power Transmission Equipment Manufacturing,7.642070519480212e-5
333618,Other Engine Equipment Manufacturing,2.7813075299279244e-4
333912,Air and Gas Compressor Manufacturing,1.1395989561626926e-4
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",1.609814029336235e-4
333921,Elevator and Moving Stairway Manufacturing,6.66802490004789e-5
333922,Conveyor and Conveying Equipment Manufacturing,2.1204135616428957e-4
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",9.124363735389e-5
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",1.8910711360545316e-4
333991,Power-Driven Handtool Manufacturing,5.929172863635151e-5
333992,Welding and Soldering Equipment Manufacturing,9.160503237170058e-5
333993,Packaging Machinery Manufacturing,1.4061134407258592e-4
333994,Industrial Process Furnace and Oven Manufacturing,5.7077467098654944e-5
333995,Fluid Power Cylinder and Actuator Manufacturing,9.165092380253367e-5
333996,Fluid Power Pump and Motor Manufacturing,1.0603215093985307e-4
333998,All Other Miscellaneous General Purpose Machinery Manufacturing,2.789453258900798e-4
334111,Electronic Computer Manufacturing,3.5601998397425343e-4
334112,Computer Storage Device Manufacturing,7.954705892030634e-5
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,1.7578712580614895e-4
334210,Telephone Apparatus Manufacturing,7.859481173051974e-5
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,2.9266112728031936e-4
334290,Other Communications Equipment Manufacturing,1.059288952204786e-4
334310,Audio and Video Equipment Manufacturing,1.1066144902514095e-4
334412,Bare Printed Circuit Board Manufacturing,1.576370649116621e-4
334413,Semiconductor and Related Device Manufacturing,0.001178968067388629
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",9.849448342551813e-5
334417,Electronic Connector Manufacturing,1.3322282370845854e-4
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,3.462451092068054e-4
334419,Other Electronic Component Manufacturing,3.7362508412759735e-4
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,4.272262753406458e-4
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",7.062576476635377e-4
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",7.524473727970421e-5
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",3.293742719467909e-4
334514,Totalizing Fluid Meter and Counting Device Manufacturing,5.190894470107825e-5
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,2.0936818031826212e-4
334516,Analytical Laboratory Instrument Manufacturing,2.57514027691027e-4
334517,Irradiation Apparatus Manufacturing,7.708039451302778e-5
334519,Other Measuring and Controlling Device Manufacturing,2.3609420234968256e-4
334610,Manufacturing and Reproducing Magnetic and Optical Media,6.701869830287294e-5
335131,Residential Electric Lighting Fixture Manufacturing,3.865205761916955e-5
335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",1.0596331379360342e-4
335139,Electric Lamp Bulb and Other Lighting Equipment Manufacturing,6.712195402224739e-5
335210,Small Electrical Appliance Manufacturing,5.984242580634858e-5
335220,Major Household Appliance Manufacturing,2.8907585924648426e-4
335311,"Power, Distribution, and Specialty Transformer Manufacturing",1.9491237960583897e-4
335312,Motor and Generator Manufacturing,2.098901953439885e-4
335313,Switchgear and Switchboard Apparatus Manufacturing,0.00025689449337478035
335314,Relay and Industrial Control Manufacturing,2.4928225228534163e-4
335910,Battery Manufacturing,3.216300929937071e-4
335921,Fiber Optic Cable Manufacturing,6.984102129910793e-5
335929,Other Communication and Energy Wire Manufacturing,7.521605513543352e-5
335931,Current-Carrying Wiring Device Manufacturing,1.6921891476816302e-4
335932,Noncurrent-Carrying Wiring Device Manufacturing,6.673187686016612e-5
335991,Carbon and Graphite Product Manufacturing,5.969327865614104e-5
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,2.1939545795529215e-4
336110,Automobile and Light Duty Motor Vehicle Manufacturing,0.0014557163410275748
336120,Heavy Duty Truck Manufacturing,2.2960056488680042e-4
336211,Motor Vehicle Body Manufacturing,3.593241669942359e-4
336212,Truck Trailer Manufacturing,2.4296070768808355e-4
336213,Motor Home Manufacturing,9.45879753758514e-5
336214,Travel Trailer and Camper Manufacturing,2.5528255686676804e-4
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,3.358965915539437e-4
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,3.521651037842739e-4
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,1.8401316478298022e-4
336340,Motor Vehicle Brake System Manufacturing,1.1893337943280532e-4
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,4.529771044668631e-4
336360,Motor Vehicle Seating and Interior Trim Manufacturing,4.3468363285102283e-4
336370,Motor Vehicle Metal Stamping,4.773397178103794e-4
336390,Other Motor Vehicle Parts Manufacturing,8.906608896085991e-4
336411,Aircraft Manufacturing,0.0014673440823149088
336412,Aircraft Engine and Engine Parts Manufacturing,5.29937033973954e-4
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,6.052047169690747e-4
336414,Guided Missile and Space Vehicle Manufacturing,4.6838515236907285e-4
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,1.1299617556877438e-4
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,5.367002835929806e-5
336510,Railroad Rolling Stock Manufacturing,1.3046933785847316e-4
336611,Ship Building and Repairing,6.234408242963736e-4
336612,Boat Building,2.5603976547551404e-4
